No.,Time
1792,64.853
1793,64.86
1801,64.893
1802,64.925
1811,64.934
1813,64.95
1815,64.95
1816,64.951
1817,64.974
1818,64.984
1819,64.991
1821,65.015
1822,65.055
1823,65.058
1824,65.096
1825,65.125
1826,65.139
1827,65.172
1829,65.179
1830,65.19
1831,65.219
1834,65.22
1836,65.257
1837,65.26
1838,65.301
1839,65.322
1840,65.342
1842,65.383
1843,65.388
1844,65.423
1845,65.444
1847,65.455
1848,65.464
1849,65.504
1851,65.52
1854,65.545
1855,65.585
1856,65.587
1857,65.626
1861,65.653
1862,65.667
1863,65.68
1864,65.708
1866,65.718
1867,65.748
1868,65.784
1869,65.789
1870,65.829
1872,65.852
1873,65.87
1874,65.882
1875,65.905
1877,65.91
1878,65.917
1883,65.951
1887,65.982
1889,65.992
1890,66.033
1892,66.048
1894,66.073
1898,66.114
1900,66.114
1901,66.139
1902,66.154
1904,66.155
1905,66.18
1906,66.195
1907,66.235
1908,66.247
1911,66.276
1913,66.313
1914,66.359
1915,66.373
1916,66.379
1918,66.444
1919,66.465
1920,66.467
1921,66.509
1923,66.51
1924,66.549
1925,66.577
1928,66.59
1930,66.599
1931,66.643
1932,66.709
1933,66.714
1935,66.774
1936,66.784
1937,66.799
1938,66.825
1939,66.839
1941,66.859
1942,66.865
1943,66.906
1944,66.947
1946,66.973
1947,66.988
1948,67.028
1949,67.03
1951,67.038
1952,67.069
1953,67.104
1954,67.109
1956,67.15
1957,67.169
1958,67.237
1959,67.249
1961,67.264
1962,67.302
1963,67.304
1964,67.368
1965,67.404
1967,67.434
1968,67.474
1969,67.49
1972,67.502
1975,67.567
1976,67.632
1977,67.634
1978,67.699
1985,67.714
1986,67.728
1988,67.763
1989,67.794
1991,67.807
1992,67.829
1993,67.895
1994,67.944
1996,67.959
1997,67.963
1998,67.984
2000,68.029
2001,68.034
2002,68.093
2004,68.099
2005,68.149
2010,68.16
2012,68.162
2014,68.19
2015,68.227
2020,68.23
2025,68.289
2030,68.293
2031,68.36
2033,68.364
2034,68.404
2036,68.42
2037,68.424
2038,68.49
2041,68.494
2045,68.539
2046,68.554
2047,68.557
2048,68.622
2049,68.634
2052,68.65
2054,68.688
2055,68.754
2056,68.784
2059,68.822
2060,68.849
2063,68.878
2066,68.885
2069,68.89
2071,68.915
2073,68.93
2074,68.953
2076,69.017
2078,69.024
2079,69.084
2081,69.094
2085,69.109
2087,69.149
2089,69.152
2091,69.162
2094,69.217
2095,69.281
2099,69.319
2103,69.334
2108,69.347
2112,69.415
2114,69.482
2119,69.546
2122,69.554
2125,69.57
2126,69.613
2128,69.677
2130,69.744
2133,69.745
2134,69.769
2135,69.785
2137,69.8
2139,69.809
2142,69.825
2143,69.874
2144,69.876
2145,69.883
2147,69.914
2148,69.942
2149,69.955
2150,70.008
2152,70.009
2157,70.035
2158,70.05
2160,70.074
2161,70.09
2163,70.139
2164,70.18
2165,70.207
2167,70.22
2168,70.26
2170,70.261
2171,70.272
2172,70.301
2173,70.337
2176,70.344
2177,70.405
2181,70.462
2182,70.471
2183,70.479
2186,70.493
2187,70.537
2192,70.602
2195,70.604
2198,70.668
2199,70.669
2200,70.699
2201,70.709
2203,70.733
2204,70.769
2205,70.8
2206,70.867
2209,70.899
2210,70.924
2211,70.932
2214,70.939
2217,70.997
2221,71.065
2226,71.132
2227,71.139
2228,71.154
2230,71.161
2231,71.179
2233,71.197
2235,71.263
2238,71.328
2239,71.374
2240,71.389
2241,71.394
2243,71.461
2244,71.526
2245,71.592
2246,71.594
2247,71.628
2248,71.634
2251,71.658
2252,71.725
2254,71.79
2255,71.829
2258,71.843
2259,71.857
2260,71.894
2261,71.917
2264,71.922
2266,71.935
2267,71.987
2268,72.029
2270,72.044
2271,72.055
2273,72.12
2274,72.149
2275,72.161
2277,72.187
2278,72.252
2279,72.259
2280,72.275
2283,72.318
2287,72.384
2291,72.449
2292,72.494
2294,72.508
2295,72.517
2296,72.582
2299,72.614
2301,72.65
2302,72.714
2303,72.724
2305,72.74
2307,72.78
2308,72.846
2309,72.879
2310,72.912
2311,72.913
2313,72.924
2314,72.964
2315,72.968
2316,72.978
2322,73.005
2323,73.044
2327,73.049
2328,73.11
2331,73.114
2333,73.154
2336,73.177
2338,73.195
2340,73.199
2341,73.235
2343,73.235
2344,73.242
2346,73.275
2347,73.307
2348,73.316
2349,73.375
2350,73.379
2352,73.419
2353,73.431
2354,73.441
2356,73.505
2358,73.554
2361,73.568
2362,73.572
2363,73.609
2364,73.637
2366,73.649
2370,73.664
2372,73.69
2373,73.704
2374,73.739
2377,73.772
2378,73.804
2379,73.837
2380,73.854
2382,73.872
2383,73.895
2384,73.903
2385,73.935
2387,73.968
2388,74.036
2389,74.079
2393,74.093
2395,74.101
2396,74.149
2397,74.162
2399,74.167
2401,74.232
2402,74.299
2403,74.309
2404,74.323
2405,74.35
2408,74.365
2409,74.404
2410,74.432
2411,74.45
2413,74.451
2414,74.464
2415,74.497
2416,74.549
2418,74.562
2419,74.564
2422,74.599
2425,74.628
2429,74.694
2431,74.729
2433,74.76
2437,74.769
2441,74.784
2443,74.826
2444,74.893
2445,74.894
2446,74.894
2448,74.926
2449,74.935
2450,74.958
2451,74.975
2453,74.984
2454,75.024
2456,75.089
2457,75.134
2462,75.157
2464,75.16
2465,75.174
2466,75.19
2467,75.19
2470,75.191
2474,75.21
2475,75.215
2477,75.222
2479,75.255
